Id,starttime,endtime,duration,logId
1503960366,2016-04-12 02:47:30,2016-04-12 08:32:30,05:45:00,11380564589
1503960366,2016-04-13 03:08:30,2016-04-13 08:20:30,05:12:00,11388770715
1503960366,2016-04-13 20:10:00,2016-04-13 21:43:00,01:33:00,11388770716
1503960366,2016-04-15 02:59:00,2016-04-15 10:20:00,07:21:00,11402722600
1503960366,2016-04-16 02:11:00,2016-04-16 06:59:00,04:48:00,11421831252
1503960366,2016-04-16 07:02:00,2016-04-16 08:19:00,01:17:00,11421831253
1503960366,2016-04-16 23:27:00,2016-04-17 11:18:00,11:51:00,11421831254
1503960366,2016-04-19 02:06:30,2016-04-19 07:25:30,05:19:00,11439580762
1503960366,2016-04-20 02:01:00,2016-04-20 08:17:00,06:16:00,11447640793
1503960366,2016-04-21 02:32:30,2016-04-21 08:35:30,06:03:00,11455720858
1503960366,2016-04-23 02:23:00,2016-04-23 08:46:00,06:23:00,11467122444
1503960366,2016-04-24 01:57:30,2016-04-24 09:25:30,07:28:00,11474187653
1503960366,2016-04-25 02:56:00,2016-04-25 08:18:00,05:22:00,11486980511
1503960366,2016-04-26 03:59:30,2016-04-26 08:32:30,04:33:00,11493711616
1503960366,2016-04-28 02:02:00,2016-04-28 08:34:00,06:32:00,11510040462
1503960366,2016-04-29 02:21:30,2016-04-29 08:14:30,05:53:00,11517735116
1503960366,2016-04-30 01:50:00,2016-04-30 08:54:00,07:04:00,11522188936
1503960366,2016-05-01 02:02:30,2016-05-01 08:37:30,06:35:00,11531996212
1503960366,2016-05-02 03:15:30,2016-05-02 08:23:30,05:08:00,11540663911
1503960366,2016-05-03 03:39:00,2016-05-03 08:34:00,04:55:00,11548039064
1503960366,2016-05-05 04:16:30,2016-05-05 08:39:30,04:23:00,11562571546
1503960366,2016-05-06 02:25:30,2016-05-06 08:31:30,06:06:00,11569709241
1503960366,2016-05-07 02:41:00,2016-05-07 08:29:00,05:48:00,11576325621
1503960366,2016-05-08 01:32:30,2016-05-08 11:42:30,10:10:00,11582776423
1503960366,2016-05-09 00:35:30,2016-05-09 06:16:30,05:41:00,11591926984
1503960366,2016-05-10 01:36:30,2016-05-10 08:18:30,06:42:00,11611033063
1503960366,2016-05-11 03:08:30,2016-05-11 08:13:30,05:05:00,11611033064
1644430081,2016-04-29 18:33:30,2016-04-29 20:39:30,02:06:00,11523617009
1644430081,2016-04-30 14:54:30,2016-04-30 17:15:30,02:21:00,11524592517
1644430081,2016-05-01 18:01:00,2016-05-02 10:01:00,16:00:00,11548609830
1644430081,2016-05-08 18:12:30,2016-05-08 20:45:30,02:33:00,11608693255
1844505072,2016-04-14 20:16:00,2016-04-15 12:16:00,16:00:00,11403372987
1844505072,2016-04-29 22:09:00,2016-04-30 14:09:00,16:00:00,11523519346
1844505072,2016-04-30 20:52:00,2016-05-01 12:52:00,16:00:00,11530537917
1927972279,2016-04-11 21:56:00,2016-04-12 06:08:00,08:12:00,11372414035
1927972279,2016-04-12 06:27:00,2016-04-12 08:35:00,02:08:00,11374768075
1927972279,2016-04-12 11:40:00,2016-04-12 14:12:00,02:32:00,11376465497
1927972279,2016-04-13 02:23:00,2016-04-13 09:24:00,07:01:00,11384336437
1927972279,2016-04-14 23:09:00,2016-04-15 03:56:00,04:47:00,11398575572
1927972279,2016-04-15 05:31:00,2016-04-15 09:01:00,03:30:00,11401641693
1927972279,2016-04-25 21:55:00,2016-04-26 03:09:00,05:14:00,11492104450
1927972279,2016-04-28 11:42:00,2016-04-28 14:39:00,02:57:00,11507403943
2026352035,2016-04-11 20:48:00,2016-04-12 05:53:00,09:05:00,11372566564
2026352035,2016-04-12 20:52:00,2016-04-13 06:16:00,09:24:00,11382294591
2026352035,2016-04-13 21:18:00,2016-04-14 06:45:00,09:27:00,11391168707
2026352035,2016-04-14 20:56:00,2016-04-15 06:28:00,09:32:00,11399886313
2026352035,2016-04-15 21:04:00,2016-04-16 06:30:00,09:26:00,11407818391
2026352035,2016-04-16 21:09:00,2016-04-17 05:26:00,08:17:00,11415575687
2026352035,2016-04-18 20:44:00,2016-04-19 05:43:00,08:59:00,11432703842
2026352035,2016-04-19 21:10:00,2016-04-20 05:39:00,08:29:00,11441438237
2026352035,2016-04-20 21:30:30,2016-04-21 06:03:30,08:33:00,11450431030
2026352035,2016-04-21 21:06:00,2016-04-22 06:10:00,09:04:00,11459456610
2026352035,2016-04-22 20:45:00,2016-04-23 05:58:00,09:13:00,11464357502
2026352035,2016-04-23 20:49:00,2016-04-24 06:39:00,09:50:00,11473013379
2026352035,2016-04-24 21:08:00,2016-04-25 05:58:00,08:50:00,11479531689
2026352035,2016-04-26 21:46:00,2016-04-27 06:50:00,09:04:00,11496429833
2026352035,2016-04-27 21:23:00,2016-04-28 06:27:00,09:04:00,11504172158
2026352035,2016-04-28 22:25:00,2016-04-29 06:54:00,08:29:00,11512494969
2026352035,2016-04-29 20:59:00,2016-04-30 07:05:00,10:06:00,11519761551
2026352035,2016-04-30 20:53:00,2016-05-01 05:58:00,09:05:00,11526325029
2026352035,2016-05-01 21:06:00,2016-05-02 06:08:00,09:02:00,11534045885
2026352035,2016-05-03 21:25:30,2016-05-04 06:44:30,09:19:00,11550023964
2026352035,2016-05-04 21:21:30,2016-05-05 05:25:30,08:04:00,11556705027
2026352035,2016-05-05 21:20:30,2016-05-06 06:27:30,09:07:00,11564567481
